Country,SummerTimesPart,WinterTimesPart,TotalTimesPart,Tbronzemedal,Tsilvermedal,Tgoldmedal,TotalMedal,SummerTotal,WinterTotal
Sudan,12,0,12,0,1,0,1,1,0
Suriname,12,0,12,1,0,1,2,2,0
Sweden,27,22,50,234,216,202,652,494,158
Switzerland,28,21,51,119,120,106,345,192,153
Syria,13,0,13,1,1,1,3,3,0
Chinese Taipei,14,12,26,12,7,5,24,24,0
Tajikistan,6,4,10,2,1,1,4,4,0
Tanzania,13,0,13,0,2,0,2,2,0
Thailand,16,4,20,16,8,9,33,33,0
Togo,10,2,12,1,0,0,1,1,0
Tonga,9,2,11,0,1,0,1,1,0
TrinidadandTobago,17,3,20,11,5,3,19,19,0
Tunisia,14,0,14,7,2,4,13,13,0
Turkey,22,17,39,28,24,39,91,91,0
Uganda,15,0,15,2,3,2,7,7,0
Ukraine,6,7,13,60,31,37,128,120,8
UnitedArabEmirates,9,0,9,1,0,1,2,2,0
United States,27,23,50,794,907,1127,2828,2523,305
Uruguay,21,1,22,6,2,2,10,10,0
Uzbekistan,6,7,13,18,6,8,32,31,1
Venezuela,18,4,22,9,4,2,15,15,0
Vietnam,15,0,15,1,3,1,5,5,0
Virgin Islands,12,7,19,0,1,0,1,1,0
Yugoslavia,18,16,34,32,34,28,94,90,4
Zambia,13,0,13,1,1,0,2,2,0
Zimbabwe,13,0,1,4,3,8,15,1,14
